Data Type,True Values,Mean Predictions,
Train,20.37,19.905699999999968,2.037
Train,25.9,27.49420000000003,2.59
Train,4.8,4.720500000000004,0.48
Train,3.04,4.290800000000002,0.304
Train,23.84,23.79599999999998,2.384
Train,11.5,12.605699999999999,1.15
Train,5.3,5.654100000000004,0.53
Train,2.04,2.2951,0.204
Train,3.7,4.269242857142851,0.37
Train,6.1,6.084200000000005,0.61
Train,1.41,1.4613333333333325,0.141
Train,16.1,15.033899999999983,1.61
Train,6.52,6.359499999999997,0.652
Train,10.35,10.851600000000003,1.035
Train,2.2,2.401499999999998,0.22
Train,11.65,12.437500000000002,1.165
Train,7.85,7.841500000000009,0.785
Train,2.46,2.6712000000000002,0.246
Train,11.57,12.18180000000001,1.157
Train,2.65,3.128999999999999,0.265
Train,11.39,11.541200000000009,1.139
Train,19.09,19.33489999999998,1.909
Train,4.61,4.767100000000008,0.461
Train,8.29,7.994499999999999,0.829
Train,7.82,7.627200000000015,0.782
Train,11.03,10.622626785714278,1.103
Train,7.25,8.649262499999994,0.725
Train,6.22,6.702900000000012,0.622
Train,15.96,13.107850000000015,1.596
Train,7.8,7.886999999999993,0.78
Train,4.4,4.4709999999999965,0.44
Train,4.36,5.654600000000006,0.436
Train,8,7.668600000000001,0.8
Train,13,13.05660000000001,1.3
Train,2.1,2.304599999999997,0.21
Train,6.13,5.825499999999998,0.613
Train,1.46,2.390000000000002,0.146
Train,3.7,3.7478999999999956,0.37
Train,8.8,10.13366428571428,0.88
Train,4.17,3.9029,0.417
Train,19.05,18.58559999999997,1.905
Train,7.4,7.078999999999987,0.74
Train,13.69,14.707300000000007,1.369
Train,7.8,7.514199999999992,0.78
Train,11.69,13.827100000000025,1.169
Train,2.88,3.016399999999997,0.288
Train,1.6,1.8678999999999981,0.16
Train,38.44,37.54500000000002,3.844
Train,0.56,0.7933833333333341,0.056
Train,11.56,11.328599999999986,1.156
Train,6.57,6.318025000000002,0.657
Train,9.1,8.936250000000012,0.91
Train,5.59,5.798199999999993,0.559
Train,12.87,12.443299999999988,1.287
Train,11.8,11.600399999999993,1.18
Train,16.3,14.951249999999982,1.63
Train,2.37,2.6720000000000024,0.237
Train,4.8,5.323000000000005,0.48
Train,23.16,23.560100000000016,2.316
Train,6.2,6.221000000000003,0.62
Train,7.64,7.443099999999987,0.764
Train,0.95,1.7755000000000003,0.095
Train,29.4,27.74920000000004,2.94
Train,2.13,2.4475999999999978,0.213
Train,1.89,2.015699999999999,0.189
Train,14.5,14.267800000000006,1.45
Train,8.73,9.547500000000001,0.873
Train,7.27,7.184899999999994,0.727
Train,5.5,5.510126190476196,0.55
Train,3.46,3.7013999999999943,0.346
Train,14,14.066600000000001,1.4
Train,11,10.622626785714278,1.1
Train,8,9.775499999999996,0.8
Train,18.5,17.651800000000005,1.85
Train,1.33,1.521000000000002,0.133
Train,1.5,1.7948000000000002,0.15
Train,0.5,0.5855999999999996,0.05
Train,0,1.8526500000000008,0
Train,5.3,6.229999999999998,0.53
Train,0,0.08360000000000001,0
Train,4.24,5.558000000000001,0.424
Train,3.94,3.7978999999999967,0.394
Train,6.85,9.25822500000001,0.685
Train,10.1,10.166,1.01
Train,5.32,5.307999999999995,0.532
Train,1,1.14245,0.1
Train,6.38,6.2073999999999945,0.638
Train,16.5,17.1058,1.65
Train,7.2,7.516500000000001,0.72
Train,23.22,23.427699999999994,2.322
Train,2.2,2.4359999999999973,0.22
Train,1.6,1.5890999999999982,0.16
Train,21,18.62410000000001,2.1
Train,1.64,1.5301999999999998,0.164
Train,11.2,10.893583333333341,1.12
Train,20.7,20.295500000000008,2.07
Train,23.85,23.78389999999998,2.385
Train,2.51,3.047199999999996,0.251
Train,8.2,7.330500000000006,0.82
Train,9.7,8.965900000000007,0.97
Train,0.86,0.9167000000000006,0.086
Train,1.24,1.2597999999999985,0.124
Train,10.1,10.496900000000009,1.01
Train,13,13.161600000000004,1.3
Train,1.46,1.4613333333333325,0.146
Train,9.01,8.290799999999994,0.901
Train,0.8,0.8266999999999992,0.08
Train,4.21,4.368899999999996,0.421
Train,4.6,5.212900000000006,0.46
Train,3.98,4.2589000000000015,0.398
Train,13.43,14.2182,1.343
Train,19.98,19.716699999999992,1.998
Train,1.48,2.4103999999999974,0.148
Train,8.8,8.836249999999982,0.88
Train,11.7,11.79650000000001,1.17
Train,11.4,11.136999999999995,1.14
Train,10.3,10.420999999999987,1.03
Train,2.11,2.3547000000000047,0.211
Train,1.75,3.3451,0.175
Train,3.28,4.42944999999999,0.328
Train,3.42,3.6555000000000017,0.342
Train,5.55,5.342600000000002,0.555
Train,5.8,5.888500000000002,0.58
Train,3.03,2.7643999999999993,0.303
Train,10.4,10.309799999999985,1.04
Train,12.57,14.211299999999994,1.257
Train,4,4.2245,0.4
Train,1.26,1.3116000000000005,0.126
Train,3.32,4.088599999999999,0.332
Train,0,0.18805000000000002,0
Train,8.2,8.228666666666678,0.82
Train,4.48,5.057600000000002,0.448
Train,6.4,6.156499999999998,0.64
Train,4.7,5.061999999999996,0.47
Train,6.56,6.195483333333328,0.656
Train,9.84,10.580200000000008,0.984
Train,5.24,5.3366999999999996,0.524
Train,0.88,1.3133999999999983,0.088
Train,3.52,3.877649999999997,0.352
Train,10.9,11.483999999999995,1.09
Train,14,14.092200000000002,1.4
Train,13.45,13.820400000000017,1.345
Train,9.2,9.25450000000001,0.92
Train,11.69,11.58140000000002,1.169
Train,14.8,14.240199999999984,1.48
Train,9.2,9.287500000000017,0.92
Train,14.7,13.498600000000025,1.47
Train,8.8,8.39599999999999,0.88
Train,10.4,10.106999999999998,1.04
Train,12.43,11.619599999999993,1.243
Train,14.2,13.978400000000017,1.42
Train,6.6,6.6507000000000085,0.66
Train,3,3.5240000000000005,0.3
Train,2.1,2.23533333333333,0.21
Train,10.2,10.350900000000008,1.02
Train,1.7,1.7777416666666648,0.17
Train,1,0.9840999999999995,0.1
Train,1.95,1.9651999999999996,0.195
